10:27:30 INF [API] listening addr=127.0.0.1:50586
10:27:30 INF [DNS] server listening addr=127.0.0.1:53
10:27:30 INF [Inbound] Mixed(http+socks) listening addr=[::]:41001
10:27:30 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:50599 rAddr=m33o212ji.mojieurl.com:443 proxy=DIRECT
10:27:30 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:50606 rAddr=m33o212ji.mojieurl.com:443 proxy=DIRECT
10:27:30 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:50601 rAddr=api.github.com:443 proxy=DIRECT
10:27:30 INF [Config] initial compatible provider name=海外使用
10:27:30 INF [Config] initial compatible provider name=自动选择
10:27:30 INF [Config] initial compatible provider name=节点选择
10:27:30 INF [Config] initial compatible provider name=Telegram
10:27:30 INF [Config] initial compatible provider name=Steam
10:27:30 INF [Config] initial compatible provider name=磁力下载
10:27:30 INF [Config] initial compatible provider name=谷歌服务
10:27:30 INF [Config] initial compatible provider name=境内使用
10:27:30 INF [Config] initial compatible provider name=故障转移
10:27:30 INF [Config] initial compatible provider name=苹果服务
10:27:30 INF [Config] initial compatible provider name=TikTok
10:27:30 INF [Config] initial compatible provider name=ChatGPT
10:27:30 INF [Config] initial compatible provider name=Netflix
10:27:30 INF [Config] initial compatible provider name=Twitter
10:27:30 INF [Config] initial compatible provider name=微软服务
10:27:30 INF [Config] initial compatible provider name=哔哩哔哩
10:27:30 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:50598 rAddr=raw.githubusercontent.com:443 proxy=DIRECT
10:27:31 INF [TCP] connected lAddr=127.0.0.1:50632 rAddr=ocsp.digicert.com:80 mode=rule rule=DomainSuffix(digicert.com) proxy=苹果服务[DIRECT]
10:27:31 ERR [Inbound] start failed error=Error creating interface: Access is denied. type=TUN stackType=gvisor inet=198.18.0.1/16
10:27:33 INF [TCP] connected lAddr=127.0.0.1:50651 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:27:39 INF [TCP] connected lAddr=127.0.0.1:50656 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:27:39 INF [TCP] connected lAddr=127.0.0.1:50654 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50658 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50660 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50663 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50664 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50662 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:27:41 INF [TCP] connected lAddr=127.0.0.1:50661 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
