22:35:42 INF [API] listening addr=127.0.0.1:50928
22:35:42 INF [DNS] server listening addr=127.0.0.1:53
22:35:42 INF [Inbound] Mixed(http+socks) listening addr=[::]:41001
22:35:42 INF [Config] initial compatible provider name=境内使用
22:35:42 INF [Config] initial compatible provider name=Steam
22:35:42 INF [Config] initial compatible provider name=磁力下载
22:35:42 INF [Config] initial compatible provider name=微软服务
22:35:42 INF [Config] initial compatible provider name=海外使用
22:35:42 INF [Config] initial compatible provider name=自动选择
22:35:42 INF [Config] initial compatible provider name=节点选择
22:35:42 INF [Config] initial compatible provider name=苹果服务
22:35:42 INF [Config] initial compatible provider name=Telegram
22:35:42 INF [Config] initial compatible provider name=Twitter
22:35:42 INF [Config] initial compatible provider name=TikTok
22:35:42 INF [Config] initial compatible provider name=Netflix
22:35:42 INF [Config] initial compatible provider name=哔哩哔哩
22:35:42 INF [Config] initial compatible provider name=故障转移
22:35:42 INF [Config] initial compatible provider name=谷歌服务
22:35:42 INF [Config] initial compatible provider name=ChatGPT
22:35:42 INF [Config] initial compatible provider name=Twitter
22:35:42 INF [Config] initial compatible provider name=海外使用
22:35:42 INF [Config] initial compatible provider name=境内使用
22:35:42 INF [Config] initial compatible provider name=微软服务
22:35:42 INF [Config] initial compatible provider name=ChatGPT
22:35:42 INF [Config] initial compatible provider name=Telegram
22:35:42 INF [Config] initial compatible provider name=哔哩哔哩
22:35:42 INF [Config] initial compatible provider name=谷歌服务
22:35:42 INF [Config] initial compatible provider name=Netflix
22:35:42 INF [Config] initial compatible provider name=自动选择
22:35:42 INF [Config] initial compatible provider name=苹果服务
22:35:42 INF [Config] initial compatible provider name=Steam
22:35:42 INF [Config] initial compatible provider name=TikTok
22:35:42 INF [Config] initial compatible provider name=故障转移
22:35:42 INF [Config] initial compatible provider name=节点选择
22:35:42 INF [Config] initial compatible provider name=磁力下载
22:35:42 ERR [Inbound] start failed error=Error creating interface: Access is denied. type=TUN stackType=gvisor inet=198.18.0.1/16
22:35:42 ERR [Inbound] start failed error=Error creating interface: Access is denied. type=TUN stackType=gvisor inet=198.18.0.1/16
22:35:47 WRN [TCP] dial failed error=all DNS requests failed, first error: context deadline exceeded proxy=DIRECT lAddr=127.0.0.1:50950 rAddr=api.github.com:443
22:35:47 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50945 rAddr=server.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:47 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50957 rAddr=msedge.api.cdp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:47 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50958 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:47 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50959 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:52 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: context deadline exceeded proxy=节点选择 lAddr=127.0.0.1:50946 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
22:35:52 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: context deadline exceeded proxy=节点选择 lAddr=127.0.0.1:50955 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50963 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50965 rAddr=officeclient.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50969 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50967 rAddr=in.appcenter.ms:443 rule=DomainSuffix rulePayload=appcenter.ms
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50966 rAddr=in.appcenter.ms:443 rule=DomainSuffix rulePayload=appcenter.ms
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50961 rAddr=msedge.api.cdp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:35:52 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:54227->8.8.8.8:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50962 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:57 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: context deadline exceeded proxy=节点选择 lAddr=127.0.0.1:50960 rAddr=api.github.com:443 rule=Match rulePayload=
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50974 rAddr=config.edge.skype.com:443 rule=DomainSuffix rulePayload=skype.com
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50972 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50975 rAddr=dsm04pap002.storage.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50973 rAddr=officeclient.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50971 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50976 rAddr=publish.u-tools.cn:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50970 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
