10:23:31 INF [API] listening addr=127.0.0.1:58101
10:23:31 INF [DNS] server listening addr=127.0.0.1:53
10:23:31 INF [Inbound] Mixed(http+socks) listening addr=[::]:41001
10:23:31 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:58131 rAddr=api.github.com:443 proxy=DIRECT
10:23:31 INF [Config] initial compatible provider name=自动选择
10:23:31 INF [Config] initial compatible provider name=节点选择
10:23:31 INF [Config] initial compatible provider name=苹果服务
10:23:31 INF [Config] initial compatible provider name=Twitter
10:23:31 INF [Config] initial compatible provider name=哔哩哔哩
10:23:31 INF [Config] initial compatible provider name=ChatGPT
10:23:31 INF [Config] initial compatible provider name=故障转移
10:23:31 INF [Config] initial compatible provider name=Telegram
10:23:31 INF [Config] initial compatible provider name=Steam
10:23:31 INF [Config] initial compatible provider name=Netflix
10:23:31 INF [Config] initial compatible provider name=境内使用
10:23:31 INF [Config] initial compatible provider name=TikTok
10:23:31 INF [Config] initial compatible provider name=谷歌服务
10:23:31 INF [Config] initial compatible provider name=微软服务
10:23:31 INF [Config] initial compatible provider name=磁力下载
10:23:31 INF [Config] initial compatible provider name=海外使用
10:23:31 ERR [Inbound] start failed error=Error creating interface: Access is denied. type=TUN stackType=gvisor inet=198.18.0.1/16
10:23:32 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:58129 rAddr=raw.githubusercontent.com:443 proxy=DIRECT
10:23:39 INF [TCP] connected lAddr=127.0.0.1:58182 rAddr=feeds.feedburner.com:443 mode=rule rule=DomainSuffix(feedburner.com) proxy=谷歌服务[日本-优化-GPT]
10:23:40 INF [TCP] connected lAddr=127.0.0.1:58186 rAddr=xiaojianzheng.cn:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:23:41 INF [TCP] connected lAddr=127.0.0.1:58188 rAddr=xiaojianzheng.cn:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:23:45 INF [TCP] connected lAddr=127.0.0.1:58191 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:23:52 INF [TCP] connected lAddr=127.0.0.1:58193 rAddr=assets.msn.com:443 mode=rule rule=DomainSuffix(msn.com) proxy=微软服务[日本JP-T-GPT]
10:23:58 INF [TCP] connected lAddr=127.0.0.1:58198 rAddr=v20.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:27 INF [TCP] connected lAddr=127.0.0.1:58205 rAddr=open.u-tools.cn:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:24:32 INF [TCP] connected lAddr=127.0.0.1:58208 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:33 INF [TCP] connected lAddr=127.0.0.1:58210 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:41 INF [TCP] connected lAddr=127.0.0.1:58228 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58231 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58230 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58234 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58236 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58238 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:24:42 INF [TCP] connected lAddr=127.0.0.1:58240 rAddr=turing-smartfind.edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:25:48 INF [TCP] connected lAddr=127.0.0.1:58251 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:26:00 INF [TCP] connected lAddr=127.0.0.1:58257 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:26:11 INF [TCP] connected lAddr=127.0.0.1:58259 rAddr=res.u-tools.cn:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:26:39 INF [TCP] connected lAddr=127.0.0.1:58264 rAddr=io-oi.me:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:26:40 INF [TCP] connected lAddr=127.0.0.1:58266 rAddr=www.seekhue.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:26:40 INF [TCP] connected lAddr=127.0.0.1:58268 rAddr=www.seekhue.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:26:44 INF [TCP] connected lAddr=127.0.0.1:58271 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:26:48 INF [TCP] connected lAddr=127.0.0.1:58274 rAddr=www.msftconnecttest.com:80 mode=rule rule=DomainSuffix(msftconnecttest.com) proxy=微软服务[日本JP-T-GPT]
10:26:55 INF [TCP] connected lAddr=127.0.0.1:58280 rAddr=v10.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:26:56 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: dial tcp4 52.229.200.20:443: i/o timeout proxy=微软服务 lAddr=127.0.0.1:58277 rAddr=www.msftconnecttest.com:80 rule=DomainSuffix rulePayload=msftconnecttest.com
10:27:13 INF [TCP] connected lAddr=127.0.0.1:58283 rAddr=www.bingapis.com:443 mode=rule rule=DomainSuffix(bingapis.com) proxy=微软服务[日本JP-T-GPT]
10:28:02 INF [TCP] connected lAddr=127.0.0.1:58292 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:28:09 INF [TCP] connected lAddr=127.0.0.1:58294 rAddr=www.seekhue.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:28:54 INF [TCP] connected lAddr=127.0.0.1:58314 rAddr=skyapi.live.net:443 mode=rule rule=DomainSuffix(live.net) proxy=微软服务[日本JP-T-GPT]
10:29:17 INF [TCP] connected lAddr=127.0.0.1:58320 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:04 INF [TCP] connected lAddr=127.0.0.1:58344 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:28 INF [TCP] connected lAddr=127.0.0.1:58346 rAddr=www.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:28 INF [TCP] connected lAddr=127.0.0.1:58348 rAddr=www.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58350 rAddr=hectorstatic.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58353 rAddr=hectorstatic.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58356 rAddr=t9.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58352 rAddr=ug.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58354 rAddr=t7.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58360 rAddr=hectorstatic.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58362 rAddr=ug.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:29 INF [TCP] connected lAddr=127.0.0.1:58364 rAddr=hectorstatic.baidu.com:443 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58366 rAddr=nav-edge.smartscreen.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58368 rAddr=www.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58371 rAddr=www-cdn.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58370 rAddr=common.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58374 rAddr=www-cdn.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58376 rAddr=img2020.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58378 rAddr=img2024.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58379 rAddr=count.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58386 rAddr=img2023.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58390 rAddr=count.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58387 rAddr=account.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58392 rAddr=common.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58382 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58383 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:35 INF [TCP] connected lAddr=127.0.0.1:58394 rAddr=res.wx.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58400 rAddr=files.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58402 rAddr=pic.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58401 rAddr=files.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58407 rAddr=blog-static.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58406 rAddr=blog-static.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58412 rAddr=blog-static.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58413 rAddr=blog-static.cnblogs.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58397 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58396 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58408 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58416 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:30:36 INF [TCP] connected lAddr=127.0.0.1:58417 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:31:09 INF [TCP] connected lAddr=127.0.0.1:58422 rAddr=blog.gimo.me:443 mode=rule rule=Match() proxy=节点选择[日本-优化-GPT]
10:32:00 INF [TCP] connected lAddr=127.0.0.1:58451 rAddr=orders.shmh.gov.cn:17101 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:05 INF [TCP] connected lAddr=127.0.0.1:58453 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:21 INF [TCP] connected lAddr=127.0.0.1:58455 rAddr=self.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:34 INF [TCP] connected lAddr=127.0.0.1:58460 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:34 INF [TCP] connected lAddr=127.0.0.1:58462 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58464 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58476 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58467 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58465 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58468 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58481 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58479 rAddr=opt-i18n.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58478 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58483 rAddr=frontier.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58469 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58466 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58486 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58488 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58490 rAddr=mssdk-i18n-sg.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58492 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58499 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58494 rAddr=opt-i18n.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58497 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58496 rAddr=opt-i18n.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58495 rAddr=opt-i18n.coze.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58504 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
10:32:36 INF [TCP] connected lAddr=127.0.0.1:58506 rAddr=frontier-flow-sg.oceanapi-i18n.com:443 mode=rule rule=Match() proxy=节点选择[日本JP-T-GPT]
